cohesion_kPa,unit_weight_kNm3,slope_height_m,slope_angle_deg,friction_angle_deg,water_table_ratio,af_seismic_coeff,nf_param,mf_param,teetas_param,stability_number,FOS,stability_status
24.78,18.01,28.0,31.2,20.8,21.19,360.33,1.8,1.1,0.41,0.0491,2.18891,Stable
25.22,18.01,28.4,31.5,21.0,21.54,368.2,1.84,1.12,0.41,0.0493,2.19772,Stable
25.65,18.01,28.8,31.9,21.3,21.89,376.06,1.88,1.15,0.41,0.0495,2.21074,Stable
26.08,18.0,29.2,32.2,21.5,22.25,383.93,1.92,1.17,0.41,0.0496,2.21967,Stable
26.52,18.01,29.6,32.6,21.7,22.6,391.8,1.96,1.19,0.42,0.0497,2.22399,Stable
26.95,18.01,30.0,33.0,22.0,22.96,399.66,2.0,1.22,0.42,0.0499,2.23753,Stable
27.38,18.01,30.4,33.3,22.2,23.31,407.53,2.04,1.24,0.42,0.05,2.24587,Stable
27.81,18.0,30.7,33.7,22.4,23.67,415.39,2.08,1.26,0.42,0.0503,2.25569,Stable
28.25,18.01,31.1,34.0,22.7,24.02,423.26,2.12,1.29,0.43,0.0504,2.27081,Stable
28.68,18.01,31.5,34.4,22.9,24.38,431.13,2.16,1.31,0.43,0.0506,2.27613,Stable
29.11,18.0,31.9,34.7,23.2,24.73,438.99,2.2,1.33,0.43,0.0507,2.29372,Stable
29.55,18.01,32.3,35.1,23.4,25.08,446.86,2.24,1.36,0.43,0.0508,2.29557,Stable
29.98,18.01,32.7,35.4,23.6,25.44,454.73,2.28,1.38,0.44,0.0509,2.30331,Stable
30.41,18.0,33.1,35.8,23.9,25.79,462.59,2.32,1.4,0.44,0.051,2.31687,Stable
30.85,18.01,33.5,36.2,24.1,26.15,470.46,2.35,1.43,0.44,0.0511,2.31838,Stable
31.28,18.01,33.9,36.5,24.3,26.5,478.32,2.39,1.45,0.44,0.0512,2.32607,Stable
31.71,18.01,34.3,36.9,24.6,26.86,486.19,2.43,1.47,0.45,0.0513,2.33952,Stable
32.15,18.01,34.7,37.2,24.8,27.21,494.06,2.47,1.5,0.45,0.0514,2.34574,Stable
32.58,18.01,35.1,37.6,25.0,27.56,501.92,2.51,1.52,0.45,0.0515,2.35024,Stable
33.01,18.01,35.5,37.9,25.3,27.92,509.79,2.55,1.54,0.45,0.0516,2.36742,Stable
33.44,18.0,35.9,38.3,25.5,28.27,517.65,2.59,1.57,0.46,0.0517,2.3711,Stable
33.88,18.01,36.2,38.6,25.8,28.63,525.52,2.63,1.59,0.46,0.052,2.39214,Stable
34.31,18.01,36.6,39.0,26.0,28.98,533.39,2.67,1.61,0.46,0.0521,2.39711,Stable
34.74,18.01,37.0,39.3,26.2,29.34,541.25,2.71,1.64,0.46,0.0521,2.40328,Stable
35.18,18.0,37.4,39.7,26.5,29.69,549.12,2.75,1.66,0.46,0.0523,2.41868,Stable
35.61,18.0,37.8,40.0,26.7,30.04,556.99,2.79,1.68,0.47,0.0523,2.4263,Stable
36.04,18.02,38.2,40.4,26.9,30.4,564.85,2.83,1.71,0.47,0.0524,2.42843,Stable
36.48,18.01,38.6,40.8,27.2,30.75,572.72,2.87,1.73,0.47,0.0525,2.44266,Stable
36.91,18.01,39.0,41.1,27.4,31.11,580.58,2.91,1.75,0.47,0.0525,2.45004,Stable
37.34,18.01,39.4,41.5,27.6,31.46,588.45,2.94,1.78,0.48,0.0526,2.45239,Stable
37.78,18.01,39.8,41.8,27.9,31.82,596.32,2.98,1.8,0.48,0.0527,2.46911,Stable
38.21,18.0,40.2,42.2,28.1,32.17,604.18,3.02,1.82,0.48,0.0528,2.47387,Stable
38.64,18.0,40.6,42.5,28.4,32.52,612.05,3.06,1.85,0.48,0.0529,2.48868,Stable
39.07,18.01,41.0,42.9,28.6,32.88,619.91,3.1,1.87,0.49,0.0529,2.49143,Stable
39.51,18.01,41.4,43.2,28.8,33.23,627.78,3.14,1.89,0.49,0.053,2.4991,Stable
39.94,18.01,41.8,43.6,29.1,33.59,635.65,3.18,1.92,0.49,0.0531,2.51069,Stable
40.37,18.01,42.2,43.9,29.3,33.94,643.51,3.22,1.94,0.49,0.0531,2.51784,Stable
40.81,18.02,42.6,44.3,29.5,34.3,651.38,3.26,1.96,0.5,0.0532,2.52178,Stable
41.24,18.0,43.0,44.6,29.8,34.65,659.24,3.3,1.99,0.5,0.0533,2.53837,Stable
41.67,18.01,43.3,45.0,30.0,35.0,667.11,3.34,2.01,0.5,0.0534,2.5454,Stable
42.11,18.01,43.7,45.4,30.2,35.36,674.98,3.38,2.03,0.5,0.0535,2.55043,Stable
42.54,18.01,44.1,45.7,30.5,35.71,682.84,3.42,2.06,0.5,0.0536,2.566,Stable
42.97,18.02,44.5,46.1,30.7,36.07,690.71,3.46,2.08,0.51,0.0536,2.5699,Stable
43.41,18.01,44.9,46.4,31.0,36.42,698.58,3.49,2.1,0.51,0.0537,2.58734,Stable
43.84,18.01,45.3,46.8,31.2,36.78,706.44,3.53,2.13,0.51,0.0537,2.59033,Stable
44.27,18.01,45.7,47.1,31.4,37.13,714.31,3.57,2.15,0.51,0.0538,2.59869,Stable
44.7,18.0,46.1,47.5,31.7,37.49,722.17,3.61,2.17,0.52,0.0539,2.61316,Stable
45.14,18.01,46.5,47.8,31.9,37.84,730.04,3.65,2.2,0.52,0.0539,2.61841,Stable
45.57,18.01,46.9,48.2,32.1,38.19,737.91,3.69,2.22,0.52,0.054,2.6231,Stable
46.0,18.01,47.3,48.6,32.4,38.55,745.77,3.73,2.24,0.52,0.054,2.63578,Stable
46.44,18.0,47.7,48.9,32.6,38.9,753.64,3.77,2.27,0.53,0.0541,2.64287,Stable
46.87,18.01,48.1,49.3,32.8,39.26,761.5,3.81,2.29,0.53,0.0541,2.64577,Stable
47.3,18.01,48.5,49.6,33.1,39.61,769.37,3.85,2.31,0.53,0.0542,2.66233,Stable
47.74,18.0,48.8,50.0,33.3,39.97,777.24,3.89,2.34,0.53,0.0543,2.66905,Stable
48.17,18.0,49.2,50.3,33.6,40.32,785.1,3.93,2.36,0.54,0.0544,2.6859,Stable
48.6,18.01,49.6,50.7,33.8,40.67,792.97,3.97,2.38,0.54,0.0544,2.6893,Stable
49.03,18.0,50.0,51.0,34.0,41.03,800.84,4.01,2.41,0.54,0.0545,2.69695,Stable
49.47,18.0,50.4,51.4,34.3,41.38,808.7,4.04,2.43,0.54,0.0545,2.70968,Stable
49.9,18.01,50.8,51.7,34.5,41.74,816.57,4.08,2.45,0.54,0.0545,2.71696,Stable
50.33,18.01,51.2,52.1,34.7,42.09,824.43,4.12,2.48,0.55,0.0546,2.72107,Stable
50.77,18.01,51.6,52.4,35.0,42.45,832.3,4.16,2.5,0.55,0.0546,2.73828,Stable
51.2,18.0,52.0,52.8,35.2,42.8,840.17,4.2,2.52,0.55,0.0547,2.74521,Stable
51.63,18.0,52.4,53.2,35.4,43.15,848.03,4.24,2.55,0.55,0.0547,2.74924,Stable
52.07,18.0,52.8,53.5,35.7,43.51,855.9,4.28,2.57,0.56,0.0548,2.76739,Stable
52.5,18.0,53.2,53.9,35.9,43.86,863.76,4.32,2.59,0.56,0.0548,2.77283,Stable
52.93,18.01,53.6,54.2,36.2,44.22,871.63,4.36,2.62,0.56,0.0548,2.78792,Stable
53.37,18.01,54.0,54.6,36.4,44.57,879.5,4.4,2.64,0.56,0.0549,2.79389,Stable
53.8,18.02,54.4,54.9,36.6,44.93,887.36,4.44,2.67,0.57,0.0549,2.79996,Stable
54.23,18.0,54.8,55.3,36.8,45.28,895.23,4.48,2.69,0.57,0.055,2.80741,Stable
54.66,18.0,55.2,55.6,37.1,45.63,903.1,4.52,2.71,0.57,0.055,2.82466,Stable
55.1,18.01,55.5,56.0,37.3,45.99,910.96,4.56,2.74,0.57,0.0551,2.83143,Stable
55.53,18.0,55.9,56.3,37.6,46.34,918.83,4.59,2.76,0.58,0.0552,2.85011,Stable
55.96,18.01,56.3,56.7,37.8,46.7,926.69,4.63,2.78,0.58,0.0552,2.85533,Stable
56.4,18.01,56.7,57.0,38.0,47.05,934.56,4.67,2.81,0.58,0.0552,2.86331,Stable
56.83,18.01,57.1,57.4,38.3,47.41,942.43,4.71,2.83,0.58,0.0553,2.88003,Stable
57.26,18.02,57.5,57.8,38.5,47.76,950.29,4.75,2.85,0.59,0.0553,2.88678,Stable
57.7,18.0,57.9,58.1,38.7,48.12,958.16,4.79,2.88,0.59,0.0554,2.89848,Stable
58.13,18.01,58.3,58.5,39.0,48.47,966.02,4.83,2.9,0.59,0.0554,2.91551,Stable
58.56,18.0,58.7,58.8,39.2,48.82,973.89,4.87,2.92,0.59,0.0554,2.92824,Stable
59.0,18.0,59.1,59.2,39.4,49.18,981.76,4.91,2.95,0.59,0.0555,2.93703,Stable
59.43,18.01,59.5,59.5,39.7,49.53,989.62,4.95,2.97,0.6,0.0555,2.9493,Stable
59.86,18.01,59.9,59.9,39.9,49.89,997.49,4.99,2.99,0.6,0.0555,2.9503,Stable
5.33,18.03,10.7,16.0,10.9,6.69,46.32,0.28,0.21,0.32,0.0276,1.57468,Stable
5.76,18.03,11.1,16.3,11.1,7.04,54.18,0.31,0.23,0.32,0.0288,1.60031,Stable
6.2,18.02,11.5,16.7,11.4,7.4,62.05,0.35,0.26,0.33,0.0299,1.63316,Stable
6.63,18.03,11.9,17.0,11.6,7.75,69.91,0.39,0.28,0.33,0.0309,1.65616,Stable
7.06,18.03,12.3,17.4,11.8,8.1,77.78,0.43,0.31,0.33,0.0318,1.67285,Stable
7.49,18.03,12.7,17.8,12.1,8.46,85.65,0.47,0.33,0.33,0.0327,1.70052,Stable
7.93,18.02,13.1,18.1,12.3,8.81,93.51,0.51,0.35,0.33,0.0336,1.7183,Stable
8.36,18.02,13.4,18.5,12.5,9.17,101.38,0.55,0.38,0.34,0.0346,1.73471,Stable
8.79,18.03,13.8,18.8,12.8,9.52,109.24,0.59,0.4,0.34,0.0353,1.762,Stable
9.23,18.03,14.2,19.2,13.0,9.88,117.11,0.63,0.42,0.34,0.0361,1.77446,Stable
9.66,18.02,14.6,19.5,13.2,10.23,124.98,0.67,0.45,0.34,0.0367,1.78833,Stable
10.09,18.02,15.0,19.9,13.5,10.58,132.84,0.71,0.47,0.35,0.0373,1.81066,Stable
10.53,18.03,15.4,20.2,13.7,10.94,140.71,0.75,0.49,0.35,0.0379,1.82591,Stable
10.96,18.02,15.8,20.6,14.0,11.29,148.58,0.79,0.52,0.35,0.0385,1.84736,Stable
11.39,18.02,16.2,20.9,14.2,11.65,156.44,0.83,0.54,0.35,0.039,1.86208,Stable
11.83,18.02,16.6,21.3,14.4,12.0,164.31,0.87,0.56,0.36,0.0395,1.87205,Stable
12.26,18.02,17.0,21.6,14.7,12.36,172.17,0.9,0.59,0.36,0.04,1.8959,Stable
12.69,18.02,17.4,22.0,14.9,12.71,180.04,0.94,0.61,0.36,0.0405,1.90526,Stable
13.12,18.02,17.8,22.4,15.1,13.06,187.91,0.98,0.63,0.36,0.0409,1.91358,Stable
13.56,18.02,18.2,22.7,15.4,13.42,195.77,1.02,0.66,0.37,0.0413,1.93583,Stable
13.99,18.02,18.6,23.1,15.6,13.77,203.64,1.06,0.68,0.37,0.0417,1.94422,Stable
14.42,18.03,19.0,23.4,15.8,14.13,211.5,1.1,0.7,0.37,0.0421,1.95675,Stable
14.86,18.02,19.4,23.8,16.1,14.48,219.37,1.14,0.73,0.37,0.0425,1.97539,Stable
15.29,18.03,19.8,24.1,16.3,14.84,227.24,1.18,0.75,0.38,0.0428,1.98739,Stable
15.72,18.02,20.1,24.5,16.6,15.19,235.1,1.22,0.77,0.38,0.0434,2.0124,Stable
16.16,18.03,20.5,24.8,16.8,15.55,242.97,1.26,0.8,0.38,0.0437,2.02322,Stable
16.59,18.03,20.9,25.2,17.0,15.9,250.83,1.3,0.82,0.38,0.044,2.03214,Stable
17.02,18.02,21.3,25.6,17.3,16.25,258.7,1.34,0.84,0.38,0.0443,2.05197,Stable
17.46,18.03,21.7,25.9,17.5,16.61,266.57,1.38,0.87,0.39,0.0446,2.06268,Stable
17.89,18.02,22.1,26.2,17.7,16.96,274.43,1.42,0.89,0.39,0.0449,2.07508,Stable
18.32,18.02,22.5,26.6,18.0,17.32,282.3,1.45,0.91,0.39,0.0452,2.09381,Stable
18.75,18.03,22.9,27.0,18.2,17.67,290.17,1.49,0.94,0.39,0.0454,2.09934,Stable
19.19,18.03,23.3,27.3,18.4,18.03,298.03,1.53,0.96,0.4,0.0457,2.11106,Stable
19.62,18.02,23.7,27.7,18.7,18.38,305.9,1.57,0.98,0.4,0.0459,2.12871,Stable
20.05,18.02,24.1,28.0,18.9,18.73,313.76,1.61,1.01,0.4,0.0462,2.13874,Stable
20.49,18.03,24.5,28.4,19.2,19.09,321.63,1.65,1.03,0.4,0.0464,2.15953,Stable
20.92,18.03,24.9,28.7,19.4,19.44,329.5,1.69,1.05,0.41,0.0466,2.16766,Stable
21.35,18.02,25.3,29.1,19.6,19.8,337.36,1.73,1.08,0.41,0.0468,2.17074,Stable
21.79,18.03,25.6,29.4,19.9,20.15,345.23,1.77,1.1,0.41,0.0472,2.19321,Stable
22.22,18.02,26.0,29.8,20.1,20.51,353.09,1.81,1.12,0.41,0.0474,2.1983,Stable
22.65,18.03,26.4,30.2,20.3,20.86,360.96,1.85,1.15,0.42,0.0476,2.20069,Stable
23.09,18.03,26.8,30.5,20.6,21.21,368.83,1.89,1.17,0.42,0.0478,2.21908,Stable
23.52,18.02,27.2,30.9,20.8,21.57,376.69,1.93,1.19,0.42,0.048,2.22469,Stable
23.95,18.03,27.6,31.2,21.0,21.92,384.56,1.97,1.22,0.42,0.0481,2.23054,Stable
24.38,18.02,28.0,31.6,21.3,22.28,392.43,2.0,1.24,0.42,0.0483,2.24576,Stable
24.82,18.02,28.4,31.9,21.5,22.63,400.29,2.04,1.26,0.43,0.0485,2.25476,Stable
25.25,18.02,28.8,32.3,21.8,22.99,408.16,2.08,1.29,0.43,0.0487,2.2684,Stable
25.68,18.02,29.2,32.6,22.0,23.34,416.02,2.12,1.31,0.43,0.0488,2.27683,Stable
26.12,18.02,29.6,33.0,22.2,23.69,423.89,2.16,1.33,0.43,0.049,2.28256,Stable
26.55,18.02,30.0,33.3,22.5,24.05,431.76,2.2,1.36,0.44,0.0491,2.29899,Stable
26.98,18.03,30.4,33.7,22.7,24.4,439.62,2.24,1.38,0.44,0.0492,2.3031,Stable
27.42,18.03,30.8,34.0,22.9,24.76,447.49,2.28,1.4,0.44,0.0494,2.31215,Stable
27.85,18.02,31.2,34.4,23.2,25.11,455.35,2.32,1.43,0.44,0.0495,2.32489,Stable
28.28,18.02,31.6,34.8,23.4,25.47,463.22,2.36,1.45,0.45,0.0497,2.33,Stable
28.72,18.02,32.0,35.1,23.6,25.82,471.09,2.4,1.47,0.45,0.0498,2.33776,Stable
29.15,18.02,32.4,35.5,23.9,26.18,478.95,2.44,1.5,0.45,0.0499,2.34956,Stable
29.58,18.02,32.7,35.8,24.1,26.53,486.82,2.48,1.52,0.45,0.0502,2.36173,Stable
30.01,18.02,33.1,36.2,24.4,26.88,494.69,2.52,1.54,0.46,0.0503,2.37509,Stable
30.45,18.02,33.5,36.5,24.6,27.24,502.55,2.55,1.57,0.46,0.0504,2.38099,Stable
30.88,18.03,33.9,36.9,24.8,27.59,510.42,2.59,1.59,0.46,0.0505,2.38472,Stable
31.31,18.02,34.3,37.2,25.1,27.95,518.28,2.63,1.61,0.46,0.0507,2.40342,Stable
31.75,18.02,34.7,37.6,25.3,28.3,526.15,2.67,1.64,0.46,0.0508,2.40643,Stable
32.18,18.02,35.1,38.0,25.5,28.66,534.02,2.71,1.66,0.47,0.0509,2.4113,Stable
32.61,18.03,35.5,38.3,25.8,29.01,541.88,2.75,1.68,0.47,0.0509,2.42743,Stable
33.05,18.03,35.9,38.7,26.0,29.36,549.75,2.79,1.71,0.47,0.0511,2.4316,Stable
33.48,18.02,36.3,39.0,26.2,29.72,557.61,2.83,1.73,0.47,0.0512,2.44082,Stable
33.91,18.03,36.7,39.4,26.5,30.07,565.48,2.87,1.75,0.48,0.0512,2.45383,Stable
34.35,18.03,37.1,39.7,26.7,30.43,573.35,2.91,1.78,0.48,0.0514,2.46167,Stable
34.78,18.02,37.5,40.1,27.0,30.78,581.21,2.95,1.8,0.48,0.0515,2.47643,Stable
35.21,18.02,37.9,40.4,27.2,31.14,589.08,2.99,1.83,0.48,0.0516,2.48334,Stable
35.64,18.02,38.2,40.8,27.4,31.49,596.95,3.03,1.85,0.49,0.0518,2.49185,Stable
36.08,18.03,38.6,41.1,27.7,31.84,604.81,3.07,1.87,0.49,0.0518,2.50766,Stable
36.51,18.03,39.0,41.5,27.9,32.2,612.68,3.1,1.9,0.49,0.0519,2.51015,Stable
36.94,18.02,39.4,41.8,28.1,32.55,620.54,3.14,1.92,0.49,0.052,2.51868,Stable
37.38,18.03,39.8,42.2,28.4,32.91,628.41,3.18,1.94,0.5,0.0521,2.53131,Stable
37.81,18.02,40.2,42.6,28.6,33.26,636.28,3.22,1.97,0.5,0.0522,2.53454,Stable
38.24,18.02,40.6,42.9,28.8,33.62,644.14,3.26,1.99,0.5,0.0523,2.54237,Stable
38.68,18.02,41.0,43.3,29.1,33.97,652.01,3.3,2.01,0.5,0.0524,2.55568,Stable
39.11,18.03,41.4,43.6,29.3,34.32,659.87,3.34,2.04,0.5,0.0524,2.56077,Stable
39.54,18.03,41.8,44.0,29.6,34.68,667.74,3.38,2.06,0.51,0.0525,2.57439,Stable
39.98,18.03,42.2,44.3,29.8,35.03,675.61,3.42,2.08,0.51,0.0525,2.58185,Stable
40.41,18.03,42.6,44.7,30.0,35.39,683.47,3.46,2.11,0.51,0.0526,2.58527,Stable
40.84,18.03,43.0,45.0,30.3,35.74,691.34,3.5,2.13,0.51,0.0527,2.6026,Stable
41.27,18.02,43.4,45.4,30.5,36.1,699.21,3.54,2.15,0.52,0.0528,2.60848,Stable
41.71,18.02,43.8,45.7,30.7,36.45,707.07,3.58,2.18,0.52,0.0528,2.6149,Stable
42.14,18.03,44.2,46.1,31.0,36.81,714.94,3.62,2.2,0.52,0.0529,2.62859,Stable
42.57,18.02,44.6,46.4,31.2,37.16,722.8,3.65,2.22,0.52,0.053,2.63739,Stable
43.01,18.03,45.0,46.8,31.4,37.51,730.67,3.69,2.25,0.53,0.053,2.6398,Stable
43.44,18.03,45.3,47.2,31.7,37.87,738.54,3.73,2.27,0.53,0.0532,2.65775,Stable
43.87,18.03,45.7,47.5,31.9,38.22,746.4,3.77,2.29,0.53,0.0532,2.66547,Stable
44.31,18.03,46.1,47.9,32.2,38.58,754.27,3.81,2.32,0.53,0.0533,2.67793,Stable
44.74,18.02,46.5,48.2,32.4,38.93,762.13,3.85,2.34,0.54,0.0534,2.6869,Stable
45.17,18.03,46.9,48.6,32.6,39.29,770.0,3.89,2.36,0.54,0.0534,2.69015,Stable
45.61,18.03,47.3,48.9,32.9,39.64,777.87,3.93,2.39,0.54,0.0535,2.70572,Stable
46.04,18.03,47.7,49.3,33.1,39.99,785.73,3.97,2.41,0.54,0.0535,2.7094,Stable
46.47,18.02,48.1,49.6,33.3,40.35,793.6,4.01,2.43,0.55,0.0536,2.71823,Stable
46.9,18.03,48.5,50.0,33.6,40.7,801.46,4.05,2.46,0.55,0.0536,2.72895,Stable
47.34,18.02,48.9,50.4,33.8,41.06,809.33,4.09,2.48,0.55,0.0537,2.73463,Stable
47.77,18.02,49.3,50.7,34.0,41.41,817.2,4.13,2.5,0.55,0.0538,2.74312,Stable
48.2,18.02,49.7,51.1,34.3,41.77,825.06,4.17,2.53,0.55,0.0538,2.75528,Stable
48.64,18.02,50.1,51.4,34.5,42.12,832.93,4.2,2.55,0.56,0.0539,2.76344,Stable
49.07,18.02,50.5,51.8,34.8,42.47,840.8,4.24,2.57,0.56,0.0539,2.77748,Stable
49.5,18.02,50.8,52.1,35.0,42.83,848.66,4.28,2.6,0.56,0.0541,2.78914,Stable
49.94,18.02,51.2,52.5,35.2,43.18,856.53,4.32,2.62,0.56,0.0541,2.79466,Stable
50.37,18.02,51.6,52.8,35.5,43.54,864.39,4.36,2.64,0.57,0.0542,2.81325,Stable
50.8,18.03,52.0,53.2,35.7,43.89,872.26,4.4,2.67,0.57,0.0542,2.81672,Stable
51.23,18.02,52.4,53.5,35.9,44.25,880.13,4.44,2.69,0.57,0.0543,2.82708,Stable
51.67,18.02,52.8,53.9,36.2,44.6,887.99,4.48,2.71,0.57,0.0543,2.84177,Stable
52.1,18.02,53.2,54.2,36.4,44.95,895.86,4.52,2.74,0.58,0.0543,2.8491,Stable
52.53,18.02,53.6,54.6,36.6,45.31,903.72,4.56,2.76,0.58,0.0544,2.85522,Stable
52.97,18.02,54.0,55.0,36.9,45.66,911.59,4.6,2.78,0.58,0.0544,2.86971,Stable
53.4,18.03,54.4,55.3,37.1,46.02,919.46,4.64,2.81,0.58,0.0544,2.87597,Stable
53.83,18.03,54.8,55.7,37.4,46.37,927.32,4.68,2.83,0.59,0.0545,2.89106,Stable
54.27,18.02,55.2,56.0,37.6,46.73,935.19,4.72,2.85,0.59,0.0546,2.9015,Stable
54.7,18.02,55.6,56.4,37.8,47.08,943.06,4.75,2.88,0.59,0.0546,2.90543,Stable
55.13,18.03,56.0,56.7,38.0,47.43,950.92,4.79,2.9,0.59,0.0546,2.91407,Stable
55.57,18.02,56.4,57.1,38.3,47.79,958.79,4.83,2.92,0.59,0.0547,2.93185,Stable
56.0,18.03,56.8,57.4,38.5,48.14,966.65,4.87,2.95,0.6,0.0547,2.93978,Stable
56.43,18.02,57.2,57.8,38.8,48.5,974.52,4.91,2.97,0.6,0.0547,2.95804,Stable
56.86,18.03,57.5,58.1,39.0,48.85,982.39,4.95,2.99,0.3,0.0548,2.97252,Stable
57.3,18.03,57.9,58.5,39.2,49.21,990.25,4.99,0.05,0.3,0.0549,3.42349,Stable
57.73,18.02,58.3,58.8,39.5,49.56,998.12,0.04,0.07,0.31,0.055,3.41769,Stable
58.16,18.02,58.7,59.2,39.7,49.92,6.98,0.08,0.09,0.31,0.055,3.39717,Stable
58.6,18.02,59.1,59.6,39.9,5.27,14.85,0.12,0.12,0.31,0.055,2.25261,Stable
59.03,18.02,59.5,59.9,10.2,5.62,22.72,0.16,0.14,0.31,0.0551,0.73406,Unstable
59.46,18.02,59.9,15.3,10.4,5.98,30.58,0.2,0.16,0.32,0.0551,1.48342,Stable
59.9,18.02,10.3,15.6,10.6,6.33,38.45,0.24,0.19,0.32,0.3227,3.93359,Stable
5.16,18.04,10.9,16.6,11.5,7.96,82.52,0.5,0.37,0.34,0.0262,1.66461,Stable
5.59,18.04,11.3,16.9,11.7,8.32,90.38,0.54,0.39,0.34,0.0274,1.6888,Stable
